Subtopics_name,2022-focus area and code,2021-focus area and code,2020-focus area and code,2019-focus area and code,2018-focus area and code,2017-focus area and code,2016-focus area and code,2015-focus area and code,2014-focus area and code,2012-focus area and code,2011-focus area and code,2010-focus area and code,2009-focus area and code,2008-focus area and code,2007-focus area and code,2006-focus area and code,2005-focus area and code,2004-focus area and code
Spacecraft Fire Protection,,,,,,,,,,,,,Topic X2 Environmental Control and Life Support; X2.04,Topic X2 Environmental Control and Life Support; X2.05,Topic X3 Environmental Control and Life Support (ECLS); X3.04,,,
 Water Recovery and Waste Management,,,,,,,,,,,,,Topic X2 Environmental Control and Life Support; X2.02,,,,,
Spacecraft Habitation and Waste Management Systems,,,,,,,,,,,,,,Topic X2 Environmental Control and Life Support; X2.03,,,,
Spacecraft Model-Based Systems Engineering,,,,Focus Area 21 Small Spacecraft Technologies; Z8.07,,,,,,,,,,,,,,
Spacecraft Propulsion,,,,,,,,,,,,,,,,,Topic S8 Science Spacecraft Systems Technology; S8.04,
Spacecraft Solid Waste Management,,,,Focus Area 6 Life Support and Habitation Systems; H3.02,,,,,,,,,,,,,,
Spacecraft Technology for Micro- and Nanosats,,,,,,,,,,,,,,,,,,Topic S1 Sun Earth Connection; S1.04
Spacecraft Technology for Sample Return Missions,Focus Area 11 Spacecraft and Platform Subsystems; S13.02,Focus Area 11 Spacecraft and Platform Subsystems; S4.03,,Focus Area 11 Spacecraft and Platform Subsystems; S4.03,Focus Area 11 Spacecraft and Platform Subsystems; S4.03,Focus Area 11 Spacecraft and Platform Subsystems; S4.03,TA4.6 Autonomous Rendezvous and Docking; S4.03,TA2.1 Chemical Propulsion; S4.03,TA2.1 Chemical Propulsion; S4.03,Topic S4 Robotic Exploration Technologies; S4.03,Topic S5 Robotic Exploration Technologies; S5.04,,,,,,,
Spacecraft Thermal Control Systems,,,,,,,,,,,,,Topic X2 Environmental Control and Life Support; X2.05,,,,,
Spacecraft Thermal Management,Focus Area 17 Thermal Management Systems; Z2.01,Focus Area 17 Thermal Management Systems; Z2.01,Focus Area 17 Thermal Management Systems; Z2.01,Focus Area 17 Thermal Management Systems; Z2.01,,,,,,,,,,,,,,
Spacecraft Water Sustainability through Nanotechnology,,,Focus Area 6 Life Support and Habitation Systems; T6.06,Focus Area 6 Life Support and Habitation Systems; T6.06,,,,,,,,,,,,,,
Spaceflight Auscultation Capability,,,,,,,,,,,,Topic X12 Exploration Medical Capability; X12.01,,,,,,
Spaceflight Structural Sensor Systems and NDE,,,,,,,,,,,Topic X5 Lightweight Spacecraft Materials and Structures; X5.03,Topic X5 Lightweight Spacecraft Materials and Structures; X5.04,,,,,,
Spaceport Enhancement & Improvements,,,,,,,,,,,,Topic O2 Space Transportation; O2.03,,,,,,
 Analysis and Display of Science Data,,,,,,,,,,,,,,,Topic S6 Information Technologies; S6.06, and Analysis for Science; S8.04,,
Structural Efficiency - Aeroelasticity and Aeroservoelastic Control,,,,,Focus Area 18 Air Vehicle Technology; A1.01,,TA11.2 Modeling; A1.01,,,,,,,,,,,
Structural Efficiency - Airframe,,,,,,,,,,Topic A3 Air Vehicle Technologies; A3.01,,,,,,,,
Structural Efficiency-Aeroservoelasticity,,,,,,,,,TA12.2 Structures; A3.01,,,,,,,,,
Structural Efficiency-Hybrid Nanocomposites,,,,,,,,TA10.1 Engineered Materials and Structures; A1.01,,,,,,,,,,
Structural Efficiency-Tailored Airframe & Structures,,,,,,Focus Area 18 Air Vehicle Technology; A1.01,,,,,,,,,,,,
Structures and Habitats,,,,,,,,,,,,,,,,,Topic X2 Advanced Materials and Structural Concepts (AMSC); X2.02,
Suborbital Instruments and Sensor Systems for Earth Science Measurements, and Instruments; S11.05, and Instruments; S1.08, Detectors and Instruments; S1.08, Detectors and Instruments; S1.08,,,,,,,,,,,,,,
Subsurface Robotic Exploration,,,,,,,,,,,,,,,,Topic S1 Robotic Exploration of the Moon and Mars; S1.02,,
 And Instrumentation,,,,,, and Landing Systems; Z7.01,,,,,,,,,,,,
Supersonic Technology - Reduce Take-off and Landing Noise,,,,,Focus Area 18 Air Vehicle Technology; A1.04,,,,,,,,,,,,,
Supportability,,,,,,,,,,,,,,,Topic X7 Lunar Operations; X7.01,,,
Supportability Technologies for Long-Duration Space Missions,,,,,,,,,,,,,,,,Topic X7 Operations of Exploration Equipment; X7.01,,
Surface & Sub-surface Measurement Systems,,,,,, Detectors and Instruments; S1.08,TA8.1 Science Instruments; S1.08,TA8.1 Science Instruments; S1.08,, Detectors and Instruments; S1.09,,,,,,,,
Surface Construction,,Focus Area 4 Robotic Systems for Space Exploration; T7.04,,,,,,,,,,,,,,,,
Surface Energy Storage,,,,,,Focus Area 2 Power Energy and Storage; Z1.02,,,,,,,,,,,,
 and Operations Equipment (Lunar or Mars),,,,,,,,,,,,,,,,Topic X7 Operations of Exploration Equipment; X7.03,,
Surface Mobility and Transportation,,,,,,,,,,,,,,,Topic X7 Lunar Operations; X7.03,,,
Surface Mobility/Mechanisms,,,,,,,,,,,,,,,,,Topic X9 Lunar and Planetary Surface Operations; X9.02,
Surface Networks & Access Links,,,,,,,,,,,,,,,,, Electronics and Imaging (CCEI); X1.04,
Surface Networks and Orbit Access Links,,,,,,,,,,,,,,,Topic O1 Space Communications and Navigation; O1.10,Topic O1 Space Communications; O1.10,,
Surface Nuclear Power Systems,,,,,,,,,,,,,Topic X7 Energy Generation and Storage; X7.02,,,,,
Surface Power Generation,,,,,,Focus Area 2 Power Energy and Storage; Z1.03,,,,,,,,,,,,
Surface Robotic Exploration,,,,,,,,,,,,,,,,Topic S1 Robotic Exploration of the Moon and Mars; S1.01,,
Surface System Dust Mitigation,,,,,,,,,,,,,Topic X6 Lunar Operations; X6.02,Topic X5 Lunar Operations; X5.02,Topic X7 Lunar Operations; X7.04,,,
Surface and Sub-surface Measurement Systems,,,,,,,,,TA8.1 Science Instruments; S1.08,,,,,,,,,
Surface and Subsurface Robotic Exploration,,,,,,,,,,,Topic S5 Robotic Exploration Technologies; S5.03,Topic S5 Robotic Exploration Technologies; S5.03,Topic S5 Robotic Exploration Technologies; S5.03,Topic S5 Robotic Exploration Technologies; S5.03,Topic S5 Robotic Exploration Technologies; S5.04,,,
System Lifecycle Integration of Cost and Risk Models,,,,,,,,,,,,,,,,Topic X1 Systems Analysis and Integration; X1.02,,
Systems Analysis Integration Evaluation (SAIE),,,,,,,,,,,Topic A3 Airspace Systems; A3.02,Topic A3 Airspace Systems; A3.02,,,,,,
Systems Engineering and Requirements,,,,,,,,,,,,,,,,,Topic X13 Human Systems Integration; X13.03,
Task Analysis Visualization and Data Management Tool,,,,,,,TA6.3 Human Health and Performance; H12.01,,,,,,,,,,,
Technologies for Active Microwave Remote Sensing, and Instruments; S11.02, and Instruments; S1.02, Detectors and Instruments; S1.02, Detectors and Instruments; S1.02, Detectors and Instruments; S1.02, Detectors and Instruments; S1.02,,,,,,,,,,,,
Technologies for Gravity Wave Detection,,,,,,,,,,,,,,,,,Topic S4 Exploration of the Universe Beyond Our Solar System; S4.06,Topic S2 Structure and Evolution of the Universe; S2.06
Technologies for Improved Aviation Security,,,,,,,,,,,,,,,,,,Topic A1 Aviation Safety and Security; A1.03
Technologies for Improved Design and Analysis of Flight Deck Automation,,,,,,,,,,,,,,Topic A1 Aviation Safety; A1.06,,,,
Technologies for Improved Design and Analysis of Flight Deck Systems,,,,,,,,,,,,Topic A1 Aviation Safety; A1.06,Topic A1 Aviation Safety; A1.06,,,,,
Technologies for Improved Design and Analysis of Safety-Critical Dynamic Systems,,,,,,,,,,,Topic A1 Aviation Safety; A1.19,,,,,,,
Technologies for Improvement Design and Analysis of Flight Deck Automation,,,,,,,,,,,,,,,Topic A1 Aviation Safety; A1.12,,,
Technologies for Intra-Vehicular Activity Robotics,,,Focus Area 4 Robotic Systems for Space Exploration; Z5.04,Focus Area 4 Robotic Systems for Space Exploration; Z5.04,,,,,,,,,,,,,,
Technologies for Intravehicular Activity Robotics,,Focus Area 4 Robotic Systems for Space Exploration; Z5.04,,,,,,,,,,,,,,,,
Technologies for Large-Scale Numerical Simulation,,Focus Area 13 Information Technologies for Science Data; S5.01,Focus Area 13 Information Technologies for Science Data; S5.01,Focus Area 13 Information Technologies for Science Data; S5.01,Focus Area 13 Information Technologies for Science Data; S5.01,Focus Area 13 Information Technologies for Science Data; S5.01,TA11.1 Computing; S5.01,TA11.1 Computing; S5.01,TA11.1 Computing; S5.01,Topic S5 Information Technologies; S5.01,Topic S6 Information Technologies; S6.01,Topic S6 Information Technologies; S6.01,Topic S6 Information Technologies; S6.01,Topic S6 Information Technologies; S6.01,Topic S6 Information Technologies; S6.02,,,
Technologies for Low Mass Mars Ascent Vehicles (PAV),,,,,,,,,,,,,,Topic S5 Robotic Exploration Technologies; S5.04,,,,
Technologies for Non-Invasive Measurement and Analysis of Human Task Performance,,,,,,,,,,,,Topic X14 Space Human Factors and Food Systems; X14.01,,,,,,
Technologies for Particles and Fields Measurements,,,,,,,,,,,,,,,,,Topic S5 Sun - Solar System Connection; S5.03,Topic S1 Sun Earth Connection; S1.01
Technologies for Passive Microwave Remote Sensing, and Instruments; S11.03, and Instruments; S1.03, Detectors and Instruments; S1.03, Detectors and Instruments; S1.03, Detectors and Instruments; S1.03, Detectors and Instruments; S1.03,,,,,,,,,,,,
Technologies for Spacesuits in Extreme Surface Environments,Focus Area 24 Dust Mitigation and Extreme Lunar Environment Mitigation Technologies; Z13.03,,,,,,,,,,,,,,,,,
Technologies for Unmanned Atmospheric Platforms,,,,,,,,,,,,,Topic S3 Spacecraft and Platform Subsystems; S3.09,,,,,
Technologies to Enable Cost & Schedule Reductions for Ultra-Stable Normal Incidence Mirrors for CubeSats,,,Focus Area 21 Small Spacecraft Technologies; Z8.08,,,,,,,,,,,,,,,
Technologies to Enable Cost and Schedule Reductions for Optical System for CubeSats,,Focus Area 21 Small Spacecraft Technologies; Z8.08,,,,,,,,,,,,,,,,
Technology Systems Analysis,,,,,,,,,,,,,,,,,Topic X4 Advanced Studies Concepts and Tools (ASCT); X4.01,
Technology for Monitoring Muscle Protein Synthesis and Breakdown in Spaceflight,,,,,,,,TA6.3 Human Health and Performance; H12.03,,,,,,,,,,
Technology for the Precision Radial Velocity Measurement Technique,,Focus Area 10 Advanced Telescope Technologies; S2.05,Focus Area 10 Advanced Telescope Technologies; S2.05,,,,,,,,,,,,,,,
Technology/Technique for Imaging Radiation Damage at the Cellular Level,,,,,,,,,,,,,,Topic X13 Space Radiation; X13.02,,,,
Telescience and Flight Payload Operations,,,,,,,,,,,,,,,,,,Topic B5 Flight Payload Technologies and Outreach; B5.01
Terrestrial Balloon Technologies,,,,,,,,,,,,,Topic S3 Spacecraft and Platform Subsystems; S3.10,,,,,
Terrestrial Balloon Technology,,,,,,,,,,,,,,,Topic S3 Spacecraft and Platform SubSystems; S3.05,Topic S4 Exploration of the Universe Beyond our Solar System; S4.06,,
Terrestrial Balloons and Planetary Aerial Vehicles,,Focus Area 11 Spacecraft and Platform Subsystems; S3.05,Focus Area 11 Spacecraft and Platform Subsystems; S3.05,Focus Area 11 Spacecraft and Platform Subsystems; S3.05,Focus Area 11 Spacecraft and Platform Subsystems; S3.05,,,,,,,,,,,,,
Terrestrial and Extra-Terrestrial Balloons and Aerobots,,,,,,,,,,,,,,,,,Topic S4 Exploration of the Universe Beyond Our Solar System; S4.02,Topic S2 Structure and Evolution of the Universe; S2.02
Terrestrial and Planetary Balloons,,,,,,Focus Area 11 Spacecraft and Platform Subsystems; S3.05,TA1.5 Unconventional/Other Propulsion Systems; S3.06,TA10.2.1 Energy Storage; S3.06,TA3.4 Cross Cutting Technology; S3.06,,Topic S3 Spacecraft and Platform Subsystems; S3.07,Topic S3 Spacecraft and Platform Subsystems; S3.07,,,,,,
Test Measurement Technology,,,,,,,,,,,,,,,Topic A4 Aeronautics Test Technologies; A4.01,Topic A4 Aeronautics Test Technologies; A4.01,,
Test Techniques and Facility Development,,,,,,,,,,,,,,,Topic A4 Aeronautics Test Technologies; A4.02,Topic A4 Aeronautics Test Technologies; A4.02,,
Testing of COTS Systems in Space Radiation Environments,,,Focus Area 6 Life Support and Habitation Systems; T6.05,Focus Area 6 Life Support and Habitation Systems; T6.05,,,,,,,,,,,,,,
Thermal Control Systems,Focus Area 17 Thermal Management Systems; S16.05,Focus Area 17 Thermal Management Systems; S3.06,Focus Area 17 Thermal Management Systems; S3.06,Focus Area 17 Thermal Management Systems; S3.06,,Focus Area 17 Thermal Management Systems; S3.06,TA14.2 Thermal Control Systems; S3.07,TA14.2 Thermal Control Systems; S3.07,TA14.2 Thermal Control Systems; S3.07,Topic H3 Life Support and Habitation Systems; H3.04,Topic S3 Spacecraft and Platform Subsystems; S3.02,Topic S3 Spacecraft and Platform Subsystems; S3.02,Topic S3 Spacecraft and Platform Subsystems; S3.02,Topic S3 Spacecraft and Platform Subsystems; S3.02,Topic S3 Spacecraft and Platform SubSystems; S3.02,,,
Thermal Control Systems for Human Spacecraft,,,,,,,,,,,,Topic X3 Life Support and Habitation Systems; X3.04,,,,,,
Thermal Control Technologies for Science Spacecraft,,,,,,,,,,,,,,,,Topic S7 Science Spacecraft Systems Technology; S7.06,,
Thermal Control for Future Human Exploration Vehicles,,,,,,,,,TA14.2 Thermal Control Systems; H3.01,,,,,,,,,
Thermal Control for Instruments,,,,,,,,,,,,,,,,,Topic S6 Earth-Sun System Instrument and Sensor Technology; S6.07,Topic E1 Instruments for Earth Science Measurements; E1.07
Thermal Control for Lunar Surface Systems,,,,,,,,,,,,,,,,Topic X11 Thermal Management; X11.01,,
Thermal Control for Surface Systems and Spacecraft,,,,,,,,,,,,,,,Topic X11 Thermal Management; X11.01,,,
Thermal Energy Conversion,,,,,,,TA3.1 Power Generation; H8.01,,,,,,,,,,,
Thermal Management,,,,,Focus Area 17 Thermal Management Systems; Z2.01,Focus Area 17 Thermal Management Systems; Z2.01,,,,,,,,,,,,
Thin-Ply Composite Technology and Applications,,, and Assembly; T12.01, and Assembly; T12.01,Focus Area 15 Lightweight Materials Structures and Assembly / Construction; T12.01,,,,,,,,,,,,,
Timing,,,,,,,,,,,,,,Topic O4 Navigation; O4.04,,,,
Trace Contaminant Control for Advanced Spacesuit Applications,,,,,,,TA6.2 Extravehicular Activity Systems; H4.02,,,,,,,,,,,
Transformational Communications Technology,,Focus Area 5 Communications and Navigation; H9.05,Focus Area 5 Communications and Navigation; H9.05,Focus Area 5 Communications and Navigation; H9.05,,,,,,,,,Topic O1 Space Communications; O1.05,,Topic O1 Space Communications and Navigation; O1.07,Topic O1 Space Communications; O1.07,Topic O1 Space Communications; O1.08,
Transformational/Over-the-Horizon Communications Technology,,,,,Focus Area 5 Communications and Navigation; H9.05,Focus Area 5 Communications and Navigation; H9.05,,,,,,,,,,,,
Transport Aircraft Simulator Motion Fidelity For Abnormal Flight Conditions,,,,,,,,,,,Topic A1 Aviation Safety; A1.11,,,,,,,
UAS Integration in the NAS,,,,,,,,,,,Topic A5 Integrated System Research Project  (ISRP); A5.01,,,,,,,
UV and EUV Optics,,,,,,,,,,,,,,,,,,Topic S1 Sun Earth Connection; S1.06
Ultra High Specific Energy Batteries,,,,,,,,,,Topic H8 High Efficiency Space Power Systems; H8.02,,,,,,,,
Understanding and Utilizing Gravitational Effects on Molecular Biology and for Medical Applications,,,,,,,,,,,,,,,,,,Topic B2 Fundamental Space Biology; B2.03
Understanding and Utilizing Gravitational Effects on Plants and Animals,,,,,,,,,,,,,,,,,,Topic B2 Fundamental Space Biology; B2.01
Unique Mission Architectures Using Small Spacecraft,,,,,,,,,,,Topic S4 Low-Cost Small Spacecraft and Technologies; S4.01,,,,,,,
 and Verification and Validation,,,,,,,,,,,,,,,Topic A1 Aviation Safety; A1.11,,,
Unmanned Aircraft Systems (UAS) Integration in the National Airspace System (NAS) Research,,,,,,,,,TA15.1 Additional Subtopics; A2.01,,,,,,,,,
Unmanned Aircraft Systems (UAS) Technologies,,,Focus Area 19 Integrated Flight Systems; A2.02,Focus Area 19 Integrated Flight Systems; A2.02,Focus Area 19 Integrated Flight Systems; A2.02,,,,,,,,,,,,,
Unmanned Aircraft Systems Integration into the National Airspace System Research,,,,,,,,,,Topic A2 Air Traffic Management Research and Development (ATM R&D); A2.01,,,,,,,,
Unmanned Aircraft Systems Technology,,,,,,Focus Area 19 Integrated Flight Systems; A2.02,TA4.5 Autonomy; A2.02,TA4.5 Autonomy; A2.02,,,,,,,,,,
Unmanned Aircraft and Sounding Rocket Technologies,,,,,,,TA8.3 Sensor Systems; S3.04,TA8.2 Observations; S3.04,TA8.3 Sensor Systems; S3.04,Topic S3 Spacecraft and Platform Subsystems; S3.05,Topic S3 Spacecraft and Platform Subsystems; S3.08,Topic S3 Spacecraft and Platform Subsystems; S3.09,,,,,,
Unmanned Vehicle Design for Loss-of-Control Flight Research,,,,,,,,,,,Topic A1 Aviation Safety; A1.15,,,,,,,
Unobtrusive Workload Measurement,,,,,,,,TA6.3 Human Health and Performance; H12.02,,,,,,,,,,
Unpiloted Aerial Platforms and Technologies for NASA Science Missions,Focus Area 11 Spacecraft and Platform Subsystems; S16.04,,,,,,,,,,,,,,,,,
Use of Additive Manufacturing for Thermal Protection Systems,, and Assembly; T12.05,,,,,,,,,,,,,,,,
Utilization of the International Space Station (ISS) to Foster Commercial Development of Low-Earth Orbit (LEO),,,Focus Area 22 Low Earth Orbit Platform Utilization and Microgravity Research; H8.01,,,,,,,,,,,,,,,
Validation Methods for Safety-Critical Systems Operating under LOC Conditions,,,,,,,,,,,Topic A1 Aviation Safety; A1.16,,,,,,,
Variable Cycle Propulsion,,,,,,,,,,,,Topic A5 Integrated System Research Project  (ISRP); A5.03,,,,,,
Vehicle Health Management Systems,,,,,,,,,,,,,,,,,Topic X8 Advanced Space Platforms and Systems; X8.01,
Vehicle Integration and Ground Processing,,,,,,,,,,,Topic O3 Processing and Operations; O3.04,Topic O3 Processing and Operations; O3.04,Topic O3 Processing and Operations; O3.02,Topic O3 Processing and Operations; O3.03,Topic O3 Processing and Operations; O3.03,,,
Vehicle Level Diagnostics,,,,,,,,,,Topic A1 Aviation Safety; A1.04,,,,,,,,
Vehicle Safety - Inflight Icing Hazard Mitigation Technology,,,,,Focus Area 18 Air Vehicle Technology; A1.09,,,,,,,,,,,,,
Vehicle Safety - Inflight Icing Hazard MitigationTechnology,,,,,,,TA15.1 Additional Subtopics; A1.09,,,,,,,,,,,
Vehicle Safety - Internal Situational Awareness and Response,,,,Focus Area 18 Air Vehicle Technology; A1.09,,,,,,,,,,,,,,
Vehicle Safety- Internal Situational Awareness and Response,,,,,,Focus Area 18 Air Vehicle Technology; A1.09,,,,,,,,,,,,
Vehicle Sensor Systems to Enable Situational Awareness,,Focus Area 18 Air Vehicle Technology; A1.09,,,,,,,,,,,,,,,,
Vehicle-Centric 4D Trajectory and Mission Management,,,,,,,,,,,,,,,,Topic A1 Aviation Safety; A1.01,,
Verification and Validation of Flight-Critical Systems,,,,,,,,,,,Topic A1 Aviation Safety; A1.20,Topic A1 Aviation Safety; A1.14,Topic A1 Aviation Safety; A1.14,,,,,
Vertical Lift,,,,,,,,TA12.3 Mechanical Systems; A1.06,,,,,,,,,,
Vertical Lift - VL Measurement Techniques and Condition-Based Maintenance,,,,,,,TA15.1 Additional Subtopics; A1.06,,,,,,,,,,,
Vertical Lift Technology,,,,,,Focus Area 18 Air Vehicle Technology; A1.06,,,,,,,,,,,,
Vertical Lift Technology and Urban Air Mobility,,Focus Area 18 Air Vehicle Technology; A1.06,Focus Area 18 Air Vehicle Technology; A1.06,Focus Area 18 Air Vehicle Technology; A1.06,Focus Area 18 Air Vehicle Technology; A1.06,,,,,,,,,,,,,
Vertical Lift Technology for Urban Air Mobility -Electric Motor Fault Mitigation Technology,Focus Area 18 Air Vehicle Technology; A1.06,,,,,,,,,,,,,,,,,
Virtual Reality and World Technologies for Team Training Approaches,,,,,,,,,,,Topic X14 Behavioral Health and Performance; X14.01,,,,,,,
Voltage Supplies and Charge Amplifiers  for Solar Science Missions,,,,,,,,,,,,,,,,Topic S5 Instrument Technologies for Solar Science; S5.01,,
Wash System to Disinfect Fresh Fruit & Vegetables Grown in Spaceflight,,,,,Focus Area 6 Life Support and Habitation Systems; H12.04,,,,,,,,,,,,,
Waste Management and Resource Recovery,,,,,Focus Area 6 Life Support and Habitation Systems; H3.02,,,,,,,,,,,,,
Waste and Water Processing for Spacecraft Advanced Life Support,,,,,,,,,,,,,,,,,,Topic B3 Biomedical and Human Support Research; B3.06
Water Processing and Waste Management,,,,,,,,,,,,,,,,Topic X3 Environmental Control and Life Support (ECLS); X3.02,,
Water Processing and Waste Management Systems,,,,,,,,,,,,,,,Topic X3 Environmental Control and Life Support (ECLS); X3.02,,,
 and Landing Reconstruction,,,,,,,,TA9.2 Descent; Z3.01,,,,,,,,,,
Wireless Communication for Avionics and Sensors for Space Applications,,Focus Area 21 Small Spacecraft Technologies; Z8.10,Focus Area 21 Small Spacecraft Technologies; Z8.10,,,,,,,,,,,,,,,
Wireless Data and/or Power Connectivity for Small Spacecraft,,,,,,,,,,,,,Topic S4 Low-Cost Small Spacecraft and Technologies; S4.03,,,,,
 Manipulation and Distribution,,,,,,,,,,,,,,,,,,Topic E4 Applying Earth Science Measurements; E4.03
 Manipulation and Distribution,,,,,,,,,,,,,,,,,Topic S7 Earth-Sun System Data Applications; S7.03,
Wireless Technology,,,,,,,TA4.1 Sensing & Perception; Z6.01,,,,,,,,,,,
 and Free-Form Optics,Focus Area 10 Advanced Telescope Technologies; S12.04,Focus Area 10 Advanced Telescope Technologies; S2.04,Focus Area 10 Advanced Telescope Technologies; S2.04,Focus Area 10 Advanced Telescope Technologies; S2.04,Focus Area 10 Advanced Telescope Technologies; S2.04,Focus Area 10 Advanced Telescope Technologies; S2.04,TA8.2 Observations; S2.04,TA8.2 Observations; S2.04,,,,,,,,,,
 and Submersible Instruments for Earth Science,,,,,,,,,,,,,,, and Instruments; S1.08,,,
